timestamp,open,high,low,close,volume
1752775200000,3423.80,3442.60,3417.36,3426.41,213670.658
1752778800000,3426.40,3454.00,3402.20,3410.77,315992.982
1752782400000,3410.77,3419.72,3370.66,3419.52,401442.567
1752786000000,3419.52,3501.87,3415.81,3467.44,659445.556
1752789600000,3467.44,3494.00,3450.72,3465.75,248305.461
1752793200000,3465.75,3524.00,3460.53,3476.65,426658.168
1752796800000,3476.66,3540.00,3458.00,3537.37,380069.288
1752800400000,3537.37,3628.66,3524.49,3615.56,901165.200
1752804000000,3615.56,3628.99,3588.99,3602.40,463463.461
1752807600000,3602.40,3607.75,3584.45,3596.83,211915.740
1752811200000,3596.82,3621.33,3576.00,3619.27,320750.242
1752814800000,3619.27,3674.43,3615.32,3670.04,632670.772
1752818400000,3670.04,3670.31,3640.00,3650.20,309116.311
1752822000000,3650.21,3669.86,3605.15,3607.10,502703.128
1752825600000,3607.11,3631.00,3584.00,3606.35,375340.155
1752829200000,3606.35,3626.37,3594.03,3622.75,249225.094
1752832800000,3622.75,3625.35,3602.43,3619.50,151039.042
1752836400000,3619.50,3626.73,3590.00,3612.00,224049.274
1752840000000,3612.01,3640.93,3592.07,3639.21,247093.321
1752843600000,3639.20,3659.99,3610.50,3640.34,505247.269
1752847200000,3640.35,3673.72,3555.47,3586.00,1152829.908
1752850800000,3586.00,3589.88,3530.55,3564.70,653389.206
1752854400000,3564.70,3589.71,3548.79,3573.49,330047.602
1752858000000,3573.50,3624.71,3566.72,3613.60,211581.527
