timestamp,open,high,low,close,volume
1752255300000,117413.50,117504.80,117234.00,117309.00,402.336
1752255600000,117309.00,117399.90,117289.90,117386.50,366.696
1752255900000,117386.40,117534.70,117379.60,117507.90,243.858
1752256200000,117508.00,117625.00,117385.00,117597.90,277.174
1752256500000,117597.90,117679.90,117550.00,117625.10,294.915
1752256800000,117625.10,117735.40,117600.00,117627.80,356.670
1752257100000,117627.80,117639.70,117524.80,117524.80,261.066
1752257400000,117524.80,117671.40,117480.00,117560.60,261.222
1752257700000,117560.70,117656.20,117485.00,117485.10,215.051
1752258000000,117485.10,117632.90,117458.00,117571.90,157.877
1752258300000,117571.90,117583.80,117290.50,117328.00,448.334
1752258600000,117328.00,117525.00,117293.20,117509.60,278.977
1752258900000,117509.50,117509.60,117444.50,117476.10,183.260
1752259200000,117476.10,117615.40,117428.60,117611.90,284.182
1752259500000,117611.90,117700.00,117500.80,117530.80,262.722
1752259800000,117530.80,117696.90,117473.40,117676.90,189.869
1752260100000,117676.90,117698.00,117639.10,117692.80,162.702
1752260400000,117692.80,117704.10,117518.30,117540.20,242.782
1752260700000,117540.30,117644.80,117401.20,117596.80,355.444
1752261000000,117596.80,117727.90,117498.20,117727.80,255.408
1752261300000,117727.80,117964.40,117708.50,117964.40,1139.821
1752261600000,117964.30,118110.20,117947.40,118047.50,992.060
1752261900000,118047.50,118128.00,117868.00,117877.50,635.169
1752262200000,117877.60,117937.30,117750.00,117839.60,346.441
1752262500000,117839.60,117940.10,117787.80,117858.30,251.413
1752262800000,117858.30,117919.20,117809.70,117809.70,195.250
1752263100000,117809.80,117903.90,117769.80,117851.70,236.023
1752263400000,117851.80,117973.90,117796.30,117947.90,493.220
1752263700000,117948.00,118106.40,117911.40,118072.70,614.004
1752264000000,118072.70,118072.70,117813.30,117813.30,462.163
1752264300000,117813.40,117891.50,117813.30,117875.50,240.170
1752264600000,117875.50,118059.00,117875.30,117919.20,399.800
1752264900000,117919.20,118021.80,117880.70,117915.40,122.735
