timestamp,open,high,low,close,volume
1750017600000,105251.90,105255.30,104548.30,104688.80,4718.406
1750021200000,104688.80,104788.60,104399.90,104744.80,4544.413
1750024800000,104744.70,105322.40,104675.00,105210.10,4684.166
1750028400000,105210.20,105571.40,105161.20,105534.60,2810.175
1750032000000,105534.70,105733.00,105289.00,105378.70,3891.324
1750035600000,105378.70,105853.30,104920.00,105756.50,6950.759
1750039200000,105756.40,105927.00,105622.00,105734.90,4375.169
1750042800000,105735.00,105926.90,105653.20,105865.60,2575.539
1750046400000,105865.60,106391.60,105817.30,106349.30,7336.196
1750050000000,106349.30,106777.00,106254.00,106519.90,8074.599
1750053600000,106520.00,106726.00,106460.00,106530.80,3809.687
1750057200000,106530.70,107250.00,106530.70,107023.80,10880.245
1750060800000,107023.80,107199.90,106898.40,107135.10,4208.995
1750064400000,107135.10,107195.40,106831.70,106914.20,3505.992
1750068000000,106914.30,107179.70,106699.00,106802.90,3828.710
1750071600000,106803.00,106931.90,106540.00,106842.50,4800.138
1750075200000,106842.60,106855.70,106550.00,106646.80,3125.758
1750078800000,106646.80,107141.40,106446.60,107109.00,7009.941
1750082400000,107109.10,107759.80,106717.10,107481.10,16161.347
1750086000000,107481.10,107660.00,107243.00,107374.90,6000.318
1750089600000,107375.00,107867.20,107258.00,107713.60,5255.024
1750093200000,107713.60,107977.30,107559.20,107691.10,4872.724
1750096800000,107691.20,108248.40,107623.50,108207.10,5858.665
1750100400000,108207.10,108882.00,108207.10,108594.20,15780.408
1750104000000,108594.20,108819.80,108360.00,108748.60,6392.269
1750107600000,108748.60,108780.00,108273.40,108470.90,3354.956
1750111200000,108470.90,108900.00,107337.20,107645.60,15361.686
1750114800000,107645.50,107935.30,106640.10,106750.10,13402.770
1750118400000,106750.10,107231.00,106068.00,107206.50,19012.818
1750122000000,107206.50,107400.00,106881.10,107133.30,5208.156
1750125600000,107133.20,107555.00,106515.20,107436.30,7298.620
1750129200000,107436.40,107727.40,107310.60,107553.30,5770.076
1750132800000,107553.30,107655.60,107259.20,107286.90,3568.206
1750136400000,107286.90,107356.50,106994.40,107077.10,3557.594
1750140000000,107077.00,107192.00,106642.00,106793.40,5441.464
1750143600000,106793.30,106836.50,106413.40,106711.10,5019.835
1750147200000,106711.00,106785.20,106432.50,106518.80,3938.416
1750150800000,106518.80,106618.10,106021.70,106112.20,7879.555
1750154400000,106112.30,106197.20,105620.00,105904.70,9122.787
1750158000000,105904.70,105904.70,105461.40,105592.90,7198.754
1750161600000,105592.90,105816.50,105350.60,105465.10,8613.684
1750165200000,105465.00,105696.00,105140.70,105301.40,11872.061
1750168800000,105301.50,105651.70,104673.50,104791.60,17022.598
1750172400000,104791.60,104920.00,104068.00,104199.20,23166.847
1750176000000,104199.20,104441.70,103443.90,103574.20,19432.217
1750179600000,103574.20,104192.80,103300.00,103750.00,16049.119
1750183200000,103750.10,104370.70,103572.00,104359.60,7351.993
1750186800000,104359.50,105288.00,104358.60,104630.60,16126.430
1750190400000,104630.50,104865.80,104207.10,104305.70,10946.637
1750194000000,104305.60,104767.30,104200.00,104490.00,5575.704
1750197600000,104490.00,104680.00,104143.40,104183.40,3714.954
1750201200000,104183.50,104689.60,104173.50,104508.00,3163.338
1750204800000,104508.00,104822.40,104312.20,104787.30,4518.263
1750208400000,104787.30,105135.00,104617.90,104726.70,5086.040
1750212000000,104726.80,105049.00,104637.90,104800.30,2423.304
1750215600000,104800.30,105192.20,104786.00,105132.20,2501.396
1750219200000,105132.10,105468.60,105017.40,105399.60,3809.462
1750222800000,105399.60,105500.00,105320.00,105360.00,2933.824
1750226400000,105360.00,105486.90,104848.20,104916.40,6110.323
1750230000000,104916.40,104970.00,104660.00,104925.70,4297.251
1750233600000,104925.60,105276.80,104693.10,104905.20,5030.412
1750237200000,104905.20,105087.30,104514.80,104650.60,4072.480
1750240800000,104650.60,104760.60,104111.40,104218.80,8211.252
1750244400000,104218.90,104826.30,104147.40,104791.20,7523.042
1750248000000,104791.10,104865.10,104422.40,104478.50,5363.655
1750251600000,104478.50,104511.20,103750.00,104400.20,15820.362
1750255200000,104400.20,105300.00,104164.40,104576.10,20886.598
1750258800000,104576.10,104937.20,104061.40,104744.20,10648.279
1750262400000,104744.20,104795.00,104272.40,104363.80,5514.047
1750266000000,104363.70,104465.80,103538.00,104289.70,12359.959
1750269600000,104290.00,104693.60,103513.50,103564.00,14674.310
1750273200000,103564.10,104415.40,103426.10,103773.30,11672.681
1750276800000,103773.30,104940.70,103601.50,104761.40,7746.266
1750280400000,104761.40,105098.00,104323.20,105039.60,6643.060
1750284000000,105039.60,105090.00,104743.80,104770.90,2793.144
1750287600000,104770.90,104916.00,104570.60,104832.80,2066.989
1750291200000,104832.80,105185.70,104620.80,104899.90,5158.448
1750294800000,104899.90,104919.80,104364.50,104557.80,4670.620
1750298400000,104557.80,104960.00,104400.00,104668.00,2660.711
1750302000000,104668.00,105072.20,104666.00,105054.40,2561.102
1750305600000,105054.40,105059.40,104741.20,105032.90,4382.284
1750309200000,105032.90,105184.00,104753.60,104842.20,3314.896
1750312800000,104842.30,104942.00,104565.00,104658.80,3048.795
1750316400000,104658.70,104800.00,104560.60,104585.90,1884.658
1750320000000,104585.80,104942.90,104570.10,104681.00,2303.329
1750323600000,104681.00,104983.90,104675.60,104946.40,2498.356
1750327200000,104946.30,105032.10,104790.20,104861.60,2140.045
