timestamp,open,high,low,close,volume
1752256800000,117625.10,117735.40,117290.50,117692.80,3061.932
1752260400000,117692.80,118128.00,117401.20,118072.70,5757.035
1752264000000,118072.70,118072.70,117615.30,117619.50,3336.702
1752267600000,117619.50,117868.00,117431.20,117585.80,3411.091
1752271200000,117585.80,117643.00,117130.00,117591.50,5515.316
1752274800000,117591.50,117646.90,117410.00,117500.00,2148.967
1752278400000,117500.00,117625.00,117055.00,117379.40,2881.906
1752282000000,117379.40,117662.00,117379.30,117618.60,1988.713
1752285600000,117618.60,117780.00,117526.00,117565.00,1885.646
1752289200000,117565.00,117818.60,117560.90,117730.00,1708.526
1752292800000,117730.00,117845.60,117527.60,117609.70,1687.974
1752296400000,117609.70,117677.00,117454.90,117640.40,1564.850
1752300000000,117640.30,117943.80,117613.50,117791.30,2738.388
1752303600000,117791.20,118036.70,117579.90,117689.70,3795.631
1752307200000,117689.60,117900.00,117673.40,117871.20,1655.061
1752310800000,117871.30,118176.90,117823.10,118119.80,3694.280
1752314400000,118119.80,118119.90,117835.50,118022.40,2323.116
1752318000000,118022.50,118064.70,117579.80,117773.60,2981.689
1752321600000,117773.50,117819.80,117220.40,117493.90,5954.116
1752325200000,117493.90,117536.10,117188.00,117476.10,4173.231
1752328800000,117476.10,117718.10,117270.00,117350.00,3512.326
1752332400000,117350.00,117424.20,116862.40,117075.60,6898.588
1752336000000,117075.60,117372.70,117012.00,117160.60,2890.666
1752339600000,117160.60,117518.90,117144.30,117438.60,2508.567
1752343200000,117438.50,117474.50,117338.90,117460.10,1199.672
1752346800000,117460.10,117609.40,117411.60,117525.70,1566.624
1752350400000,117525.70,117525.70,116975.60,116975.70,1737.367
1752354000000,116975.60,117527.80,116960.00,117455.50,1810.809
1752357600000,117455.60,117527.40,117270.00,117349.80,1285.067
1752361200000,117349.90,117435.80,117174.00,117389.30,1279.659
1752364800000,117389.40,117424.60,117212.60,117273.00,1367.151
1752368400000,117272.90,117635.40,117164.30,117510.80,2449.419
1752372000000,117510.80,117794.70,117359.40,117573.90,1803.825
1752375600000,117574.00,117791.00,117557.30,117711.50,1558.523
1752379200000,117711.60,117850.00,117639.70,117842.80,1546.517
1752382800000,117842.80,117860.00,117643.10,117714.90,1816.098
1752386400000,117714.90,117942.00,117690.10,117839.80,1632.711
1752390000000,117839.90,118040.80,117797.80,117950.00,2314.715
1752393600000,117950.00,117975.40,117710.00,117855.50,1326.612
1752397200000,117855.50,117870.30,117641.30,117700.10,1562.106
1752400800000,117700.00,117818.50,117692.60,117715.90,949.568
1752404400000,117716.00,118058.30,117715.90,118036.10,2491.495
1752408000000,118036.00,118658.50,117933.40,118382.10,7091.690
1752411600000,118382.10,118722.20,118094.10,118550.00,7538.704
1752415200000,118550.00,119655.00,118300.00,118713.30,18759.410
1752418800000,118713.30,119079.00,118472.30,118610.60,5633.116
1752422400000,118610.60,118943.30,118457.80,118466.10,4147.295
1752426000000,118466.00,118795.30,118325.40,118640.40,3093.311
1752429600000,118640.30,119018.00,118524.00,118940.10,2696.243
1752433200000,118940.20,119454.90,118855.40,118923.00,5017.353
1752436800000,118922.90,119333.00,118771.20,119028.70,2703.817
1752440400000,119028.70,119028.80,118411.80,118593.10,3909.803
1752444000000,118593.00,118734.50,118197.70,118462.50,4545.185
1752447600000,118462.50,119166.00,118324.60,119038.30,4097.714
1752451200000,119038.30,119450.00,118871.60,119030.60,4917.568
1752454800000,119030.60,119204.50,118862.60,119052.20,2878.757
1752458400000,119052.20,120000.00,118930.00,119626.40,12333.301
1752462000000,119626.40,121800.00,119558.20,120733.20,23213.544
1752465600000,120733.20,121418.20,120515.90,121370.00,9740.448
1752469200000,121370.00,122814.90,121113.30,122447.40,26336.611
1752472800000,122447.40,122457.00,122000.00,122124.00,7315.304
1752476400000,122124.10,123300.00,122087.70,122731.00,12504.352
1752480000000,122731.00,122772.70,122275.60,122560.10,6006.935
1752483600000,122560.00,122566.00,121840.00,121979.90,8211.608
1752487200000,121980.00,122149.80,121620.70,121911.80,6309.709
1752490800000,121911.80,121911.80,121357.00,121474.50,5860.765
1752494400000,121474.50,121917.80,121410.00,121894.20,5256.304
1752498000000,121894.20,122113.90,121150.00,121679.20,11558.576
1752501600000,121679.30,121970.90,120612.40,121160.00,15446.152
1752505200000,121160.00,121173.20,119590.90,119863.10,18375.394
1752508800000,119863.10,120299.00,119200.00,120260.90,16207.432
1752512400000,120261.00,120510.90,119750.00,119885.20,7329.028
1752516000000,119885.20,120166.00,119595.00,119605.60,3920.842
1752519600000,119605.40,120076.90,119564.20,119920.00,4490.327
1752523200000,119920.30,120430.00,119505.00,120130.10,6220.405
1752526800000,120130.00,120230.60,119798.40,120000.10,2647.591
1752530400000,120000.10,120292.60,119889.20,120014.60,2319.658
1752534000000,120014.60,120028.10,119735.60,119816.50,2155.509
1752537600000,119816.50,119919.40,119000.00,119458.40,6038.482
1752541200000,119458.40,119497.80,118376.50,118491.30,12335.751
1752544800000,118491.40,118873.20,117833.00,118251.90,15348.778
1752548400000,118251.80,118251.80,116870.00,117209.20,24369.171
1752552000000,117209.20,117530.70,116227.00,117481.80,17818.560
1752555600000,117481.70,117761.30,116972.00,117325.30,7770.177
1752559200000,117325.20,117325.30,116724.60,117051.00,8759.999
1752562800000,117051.00,117264.00,116371.00,116777.10,9244.232
1752566400000,116777.10,116871.00,116300.00,116766.50,6191.052
1752570000000,116766.60,117229.90,116684.30,116764.90,5254.729
1752573600000,116765.00,117222.20,116728.10,117055.00,3968.898
1752577200000,117055.00,117180.00,116331.70,117110.40,7919.670
1752580800000,117110.40,117458.60,116388.00,117193.10,15460.587
1752584400000,117193.00,118499.80,117132.60,118067.70,20404.584
1752588000000,118067.80,118439.20,115678.10,115979.60,27490.459
1752591600000,115979.60,116752.90,115750.10,116393.00,16274.557
1752595200000,116393.10,117727.40,116360.90,117195.90,17571.016
1752598800000,117195.90,117577.10,117125.00,117415.60,5290.958
1752602400000,117415.60,117436.30,116050.00,116723.30,15984.776
1752606000000,116723.20,117230.70,116300.00,116428.90,6816.660
1752609600000,116428.80,116715.90,116189.00,116410.00,4503.523
1752613200000,116410.00,117610.60,116339.80,117542.40,6033.652
1752616800000,117542.40,117849.00,117235.50,117807.70,4750.212
1752620400000,117807.70,117965.60,117479.10,117738.50,4376.963
1752624000000,117738.60,118193.60,117409.40,118114.50,5356.157
1752627600000,118114.50,118208.60,117575.20,117726.70,3850.520
1752631200000,117726.70,117768.90,117017.10,117335.10,5231.061
1752634800000,117335.00,117534.60,117223.70,117477.60,2568.177
1752638400000,117477.70,117699.90,117252.20,117601.50,2441.156
1752642000000,117601.50,118020.00,117601.50,117858.50,5014.165
1752645600000,117858.50,118282.70,117737.50,118260.80,3344.112
1752649200000,118260.80,118297.10,118017.20,118181.20,3768.600
1752652800000,118181.20,118785.00,118113.60,118697.70,6497.925
1752656400000,118697.70,119204.00,118688.90,119188.90,9385.976
1752660000000,119188.90,119299.90,118715.30,118716.90,5330.650
1752663600000,118716.90,118898.20,118621.80,118755.10,3601.246
1752667200000,118755.10,119055.00,118557.00,118579.30,5111.985
1752670800000,118579.30,118907.80,118156.00,118651.30,11552.864
1752674400000,118651.20,119230.00,118156.00,119019.80,10758.392
1752678000000,119019.90,119786.70,118243.30,119056.00,25528.010
1752681600000,119055.90,119293.50,118430.30,119250.00,7526.900
1752685200000,119249.90,119676.20,118924.10,119039.40,6620.246
1752688800000,119039.40,119888.00,118836.00,119471.00,7001.121
1752692400000,119471.00,119600.00,118780.00,119186.70,5914.548
