entry_dt,exit_dt,signal,entry_px,exit_px,contracts,pnl_usd,equity,banked
2025-06-16 05:10:00,2025-06-16 07:30:00,CALL,106289.4,107007.19131023501,25.324,12.775828806388219,61.83274864191647,8.943080164471752
2025-06-16 07:35:00,2025-06-16 07:40:00,CALL,107170.0,107041.73095238095,24.745,-8.474687659253952,53.358060982662515,8.943080164471752
2025-06-16 07:45:00,2025-06-16 07:50:00,CALL,107145.7,107014.38095238095,20.857,-7.20565886934453,46.15240211331798,8.943080164471752
2025-06-16 07:55:00,2025-06-16 08:25:00,CALL,107032.1,106910.73095238095,19.52,-6.545288461995045,39.60711365132294,8.943080164471752
2025-06-16 08:30:00,2025-06-16 08:35:00,PUT,106911.8,107028.81428571428,17.375,-5.750341895780586,33.856771755542354,8.943080164471752
