entry_dt,exit_dt,signal,entry_px,exit_px,contracts,pnl_usd,equity,banked
2025-06-15 20:30:00,2025-06-15 20:35:00,CALL,104942.0,104826.76666666666,61.664,-20.040931270836673,37.95906872916333,0.0
2025-06-15 20:40:00,2025-06-15 20:45:00,CALL,104736.2,104594.86666666667,32.904,-11.538262580207347,26.420806148955982,0.0
2025-06-15 20:50:00,2025-06-15 21:30:00,PUT,104600.3,104772.85,18.759,-7.164497180066139,19.256308968889844,0.0
2025-06-15 21:35:00,2025-06-15 22:00:00,PUT,104651.1,104812.3,14.634,-5.424288785350002,13.832020183539843,0.0
2025-06-15 22:05:00,2025-06-16 04:20:00,CALL,105000.1,106052.61980233373,9.620000000000001,8.094915865262287,16.26049494311853,5.6664411056836
