ATR_WINDOW,EMA_LONG,SL_ATR_MULT,TP_ATR_MULT,VOL_MULT,RISK_PCT,REGIME_MULT,sharpe,num_entries
6,39,0.5471437785301014,5.818462467582682,1.6287119621526533,0.01066284313212935,1.8613497108891395,1.318446622800363,220
5,50,1.569569075951478,5.998312481469239,2.9320950102573544,0.015459718014764878,1.926159061597007,1.320039733793806,213
7,102,1.5991002121792477,5.640390348304619,2.3457433371961596,0.002541834392188544,1.9272360652651808,1.2563454813071815,143
8,114,1.1155952404844922,7.894271701451638,1.2240778043361047,0.008559256381869091,1.9542056499130533,1.0577298655868597,115
8,124,1.018824585429435,5.725493106604863,1.0914840676250257,0.01755919931689515,1.9602334537660955,1.1124856082415795,110
